RequirementText_string,Class
turn product shall allow offensive player define shot ,F
shot product shall examine defensive grid defensive player determine whether shot hit miss ,F
shot product shall notify player whether shot hit miss ,F
shot product shall mark shot hit miss defensive grid defensive player ,F
shot product shall mark shot hit miss offensive grid offensive player ,F
hit result sinking ship product shall notify player ship sunk ,F
hit result sinking ship product shall mark ship sunk defensive grid defensive player ,F
hit result sinking ship product shall indicate type ship sunk defensive grid defensive player ,F
hit result sinking ship product shall mark ship sunk offensive grid offensive player ,F
shot marked hit product shall allow offensive player define shot ,F
shot marked miss product shall change status offensive player defensive ,F
shot marked miss product shall change status defensive player offensive ,F
product shall continue assign turn game ended ,F
product shall end game hit offensive player result sinking last defensive player ship previously marked sunk ,F
product shall allow player end game time game ,F
game ended product shall notify player game ended ,F
notification game ending include reason game ended ie player game player ended game ,F
game ended product shall allow player identify available player list player ,F
game ended product shall allow player remove list player ,F
system shall easy use caller supervisor caller supervisor must able accomplish system task within two point zero minute ,NF
system shall easy learn caller supervisor caller supervisor shall learn use system within ten point zero minute ,NF
system shall responsive depaul teleservices center supervisor us system view caller schedule system response time must two point zero second ninety point zero time five point zero second rest time ,NF
56k connection system response time operation must six point zero second ninety point zero time ,NF
one hundred and twelve point zero k connection faster system response time operation must three point zero second ninety point zero time ,NF
"system shall high availability every day year system must available use one thousand, two hundred point zero six hundred point zero pm day year ",NF
"system must available use seven hundred point zero one thousand, one hundred and fifty-nine point zero pm day year ",NF
product shall internet browser independent product must run using internet explorer netscape navigator ,NF
product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot ,NF
product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access advertise empty time slot ,NF
product shall ensure supervisor view schedule caller product must ensure supervisor allowed access advertise empty time slot ,NF
interface shall simple look interface usability survey ninety point zero beta tester must report interface adequately simple ,NF
interface shall appealing caller supervisor interface usability survey eighty point zero beta tester must report interface appealing ,NF
product shall provide gui based monitoring servicessystem administrator shall monitor message exchange predict determine problem also provide internal external support ,NF
product shall comply city chicago application development guide frameworkapplication development framework provide structured graphical user interface ,NF
product shall provide monitoring servicesthe product shall easy system administrator dba use two week usage ,NF
product shall provide error tracking servicesthe product shall help system administrator dba resolve transaction error ninety-nine point zero time ,NF
product shall provide portalsthe product shall help system administrator analyze transaction adhoc reporting kpis key performance indicator ,NF
product shall provide asynchronous messaging product shall provide asynchronous messaging enable parallel processing reduce overhead communication ,NF
product shall provide multithreading load balancing product shall provide multithreading technology well load balancing overcome data load spike traffic ,NF
product shall process message within two point zero second product shall maximum message processing time two point zero second ,NF
product shall poll system message every second product shall poll system new message maximum every one point zero second ,NF
product shall provide dynamic change support transparent resource addition product shall support transparent resource addition dynamic change support provide scalability avoid service interruption one point zero day ,NF
"product shall available ninety-nine point zero time rationale avoid service interruption busiest customer service response period product shall available nine thousand, nine hundred and ninety-nine point zero time regular business day ",NF
product shall robust product shall fault avoidance based standard adoption ,NF
product shall robust fault tolerance product shall fault tolerance using recovery technique compensatory transaction routing around failure ,NF
product shall able process transaction product shall process minimum one point zero million transaction per year ,NF
product shall platform independent product shall enable access type development environment platform ,NF
product shall interface csr datastream product shall exchange message csr eam real time basis without direct interface two system ,NF
product shall continue operate upgrade change new resource addition product shall able continue operate interruption service due new resource addition ,NF
product shall updated regular basis product new major feature introduced every six month quarterly maintenance release every six month ,NF
product shall operate every platform product shall accommodate new technology without change architecture ,NF
product shall securitythe product shall provide authentication authorization ,NF
product shall information security product shall enable privacy encryption wssecurity integrity checking ,NF
product shall audit capability product shall store message minimum one year audit transaction tracking purpose ,NF
system shall use ibm ccr branding standard interface must one ibm logo one ccr logo ,NF
system shall displayable work computer ccr user may system interface shall formatted display eight hundred point zero six hundred point zero pixel resolution ,NF
system interface use ccr nomenclature system must use nomenclature used existing wcs system report ,NF
interface must summarize data fashion thats appealing ccr management every report type must least one high level summary shown result dashboard interface ,NF
system must use point click interface one hundred point zero selection navigation functionality must able activated selected either mouse keyboard ,NF
interface shall easy use ninety point zero user able successfully use system generate report first use interface adhere ibm usability standard ,NF
rreports must easy generate eports must generated within one button click exported within one button click selecting report ,NF
user shall able use system without instruction short amount time one use user understand remember ninety point zero system usage navigation ,NF
ccr user shall receive training wcs system deployed one training session held one hundred point zero ccr user system deployment based ccr user available ,NF
wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user ,NF
wcs system shall available time long ibms internal intranet w3 accessible wcs system available ninety-five point zero time ibms internal intranet w3 available ,NF
wcs system shall ability connect designated wcs database currently included system ,NF
wcs system shall ability include data region outside united state accessed user outside united state approved ccr management ,NF
wcs system shall run window environment wcs shall accessed user internet ibm computer running window two thousand point zero operating system ,NF
brio portion wcs system must able export file spreadsheet form microsoft excel lotus one hundred and twenty-three point zero format brio provide button user interface produce export report xl one hundred and twenty-three point zero file format ,NF
wcs system must run query wcs database specified day update available data available ccr user query must made external database data refresh week ,NF
change update addition wcs system shall updated wcs developer wcs user guide every change must reflected wcs system documentation ,NF
system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet user name password ,NF
wcs system shall allow automatic logins user cooky containing wcs login information user stored user computer ,NF
team owner need use username password order authenticated reach team owner page ,NF
commissioner authorized user per league adjust league setting ,NF
page shall contain navigation menu show index current page contained ,NF
page shall contain similar format action item one location navigation button different location ,NF
message board shall contain five point zero recently posted message league page message contain first one hundred and fifty point zero character message ,NF
new user shall able navigate league team page within thirty point zero second reaching startup page ,NF
user shall able reach add drop trade player page one click team owner page ,NF
user shall able view least twenty-five point zero nfl player statistic point page ,NF
application shall ask user confirm dropping player trading player performing action ,NF
application shall able complete every user transaction within one fourth second receiving request network ,NF
application shall downtime ten point zero minute per year ,NF
application shall run web application server ,NF
system shall display clear image search result ,F
primary database used store cached data active user ,NF
secondary database used store historical statistic data ,NF
application update shall occur 3am six point zero cst wednesday morning middle nfl season ,NF
new system version release shall released beginning nfl season ,NF
rf system available twenty-four point zero seven point zero especially budgeting period rf system shall available ninety point zero time year ninety-eight point zero budgeting period two point zero time system become available within one point zero hour time situation reported ,NF
ninety-eight point zero user workstation shall meet minimum hardware requirement prior implementation minimum hard disk space four hundred point zero mb ,NF
ninety-eight point zero user workstation shall meet minimum software requirement prior implementation microsoft internet explorer fifty point zero microsoft net framework eleven point zero microsoft internet explorer web control ,NF
change revenue expense formula must applied rf system every year prior budgeting process start revenue expense formula updated within one week receipt two point zero week allotted testing budget calculation conducted jointly project development team pcg finance ,NF
new branch complex district region revenue expense account added bdw must reflected rf system one hundred point zero entity mentioned available october monthend loaded rf system prior budget start process ,NF
authorized user shall access rf system user exist uas system rf system assigned role shall access rf system use ,NF
user access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent privilege permission assigned role ,NF
product must comply intranet page standard requirement enet security ninety-five point zero product look feel approved architecture group prior implementation remaining five point zero corrected approved within one month product release ,NF
intranet page display appropriately resolution eight hundred point zero x six hundred point zero higher display page correct ninety-five point zero resolution prior implementation remaining five point zero corrected within week notification incorrect display ,NF
user able easily use system successfully complete budget within stipulated time completion week training prior product implementation ninety-eight point zero user shall complete budget within stipulated time ,NF
product interface fast response time product interface exceed two point zero second ninety point zero time ten point zero time response time ten point zero second ten point zero second ,NF
dispute application must conform legal requirement specified merchant operating regulation ,NF
